preprocessing_strategy,k,random_state,silhouette_score,davies_bouldin,calinski_harabasz,cluster_sizes,smallest_cluster_size,largest_cluster_size,smallest_cluster_percentage,largest_cluster_percentage
log_standard,2,123,0.41296605056385477,0.9125943348166968,5989.932653019035,"{""0"": 3176, ""1"": 2702}",2702,3176,45.968016332085746,54.031983667914254
log_standard,3,42,0.31104915168375646,1.1229671800563585,4856.58754912021,"{""0"": 1520, ""1"": 2132, ""2"": 2226}",1520,2226,25.859135760462742,37.87002381762504
log_standard,3,7,0.31114472053107767,1.120880677573003,4856.196040110999,"{""0"": 2152, ""1"": 2219, ""2"": 1507}",1507,2219,25.637972099353522,37.750935692412384
log_standard,3,21,0.3110859461917162,1.122524113350887,4856.586572473444,"{""0"": 1518, ""1"": 2227, ""2"": 2133}",1518,2227,25.825110581830558,37.887036406941135
log_standard,3,84,0.31114472053107767,1.120880677573003,4856.196040110999,"{""0"": 2219, ""1"": 2152, ""2"": 1507}",1507,2219,25.637972099353522,37.750935692412384
log_standard,3,123,0.31114472053107767,1.120880677573003,4856.196040110999,"{""0"": 1507, ""1"": 2219, ""2"": 2152}",1507,2219,25.637972099353522,37.750935692412384
log_standard,4,42,0.2935412421897503,1.1302531804078504,4343.732933219936,"{""0"": 1180, ""1"": 1223, ""2"": 1511, ""3"": 1964}",1180,1964,20.074855392990813,33.412725416808435
log_standard,4,7,0.2933596321773085,1.1304325231123382,4343.9061839087735,"{""0"": 1964, ""1"": 1513, ""2"": 1216, ""3"": 1185}",1185,1964,20.159918339571284,33.412725416808435
log_standard,4,21,0.29335305832793873,1.1304975883625872,4343.8921712450565,"{""0"": 1964, ""1"": 1513, ""2"": 1217, ""3"": 1184}",1184,1964,20.14290575025519,33.412725416808435
log_standard,4,84,0.2933596321773085,1.1304325231123382,4343.9061839087735,"{""0"": 1513, ""1"": 1216, ""2"": 1964, ""3"": 1185}",1185,1964,20.159918339571284,33.412725416808435
log_standard,4,123,0.2934431717549441,1.1303186249501382,4343.863641364094,"{""0"": 1967, ""1"": 1217, ""2"": 1511, ""3"": 1183}",1183,1967,20.125893160939096,33.463763184756715
log_standard,5,42,0.29074180522665244,1.0918833652579956,3962.378017566419,"{""0"": 1035, ""1"": 1661, ""2"": 1195, ""3"": 1094, ""4"": 893}",893,1661,15.192242259271863,28.25791085403198
log_standard,5,7,0.29073794887758825,1.0909858641295211,3962.3626078982684,"{""0"": 1659, ""1"": 890, ""2"": 1194, ""3"": 1032, ""4"": 1103}",890,1659,15.14120449132358,28.223885675399796
log_standard,5,21,0.29078152428815246,1.0906407027426677,3962.3868222791903,"{""0"": 1034, ""1"": 1094, ""2"": 1663, ""3"": 1197, ""4"": 890}",890,1663,15.14120449132358,28.29193603266417
log_standard,5,84,0.2910869382574699,1.0906108820849245,3962.3314323510876,"{""0"": 1198, ""1"": 1094, ""2"": 1662, ""3"": 888, ""4"": 1036}",888,1662,15.107179312691391,28.274923443348076
log_standard,5,123,0.2906942287564306,1.0918315123636468,3962.359657702741,"{""0"": 1662, ""1"": 895, ""2"": 1036, ""3"": 1093, ""4"": 1192}",895,1662,15.226267437904047,28.274923443348076
log_standard,6,42,0.2610503844420319,1.1849252328766176,3647.75407969497,"{""0"": 956, ""1"": 580, ""2"": 988, ""3"": 1282, ""4"": 1222, ""5"": 850}",580,1282,9.867301803334467,21.810139503232392
log_standard,6,7,0.26094375974451417,1.1863751620263339,3647.7487443875757,"{""0"": 850, ""1"": 1222, ""2"": 955, ""3"": 585, ""4"": 1278, ""5"": 988}",585,1278,9.952364749914937,21.742089145968016
